101 Squadron (Israel)
16th Summit of the Non-Aligned Movement
1920 Nebi Musa riots
1929 Hebron massacre
1929 Palestine riots
1936–39 Arab revolt in Palestine
1945 Anti-Jewish Riots in Tripolitania
1947 Aden riots
1947 Aleppo pogrom
1947 Manama riots
1947–48 Civil War in Mandatory Palestine
1948 Anti-Jewish Riots in Oujda and Jerada
1948 Arab–Israeli War
1948 Cairo bombings
1948 Palestine war
1948 Palestinian exodus
1948 Palestinian exodus from Lydda and Ramle
1949 Armistice Agreements
1949–56 Palestinian exodus
1953 Iranian coup d'état
1963 Syrian coup d'état
1966 Syrian coup d'état
1967 Arab League summit
1967 Palestinian exodus
1968 Polish political crisis
1970 Arab League summit
1974 Arab League summit
1974 Beit She'an attack
1974 Nahariya attack
1976 Arab League summit (Cairo)
1976 Arab League summit (Riyadh)
1978 Arab League summit
1978 South Lebanon conflict
1979 Nahariya attack
1982 Lebanon War
1983 West Bank fainting epidemic
1984 Summer Olympics boycott
1988 Arab League summit
1990 Temple Mount riots
2000 Camp David Summit
2000 Ramallah lynching
2002 Arab League summit
2002 Beit She'an attack
2002 Hebron ambush
2006 Gaza cross-border raid
2006 Israeli reserve soldiers' protest
2006 Lebanon War
2006 shelling of Beit Hanoun
2006–07 economic sanctions against the Palestinian National Authority
2006–08 Lebanese political protests
2007 Bersih rally
2007 Nahal Telem attack
2008 Greek riots
2008 breach of the Gaza–Egypt border
2009 Aftonbladet Israel controversy
2009 Hamas political violence in Gaza
2009 Icelandic financial crisis protests
2009 Oslo riots at Israeli Embassy
2009–10 Iranian election protests
2010 Israel–Lebanon border clash
2010 Palestinian militancy campaign
2010–11 Israeli–Palestinian peace talks
2011 Israeli social justice protests
2011 Nakba Day
2011 Palestinian protests
2011 southern Israel cross-border attacks
2012 Palestinian protests
2013 Qalandia raid
2013–14 Israeli–Palestinian peace talks
2014 Gaza war beach bombing incidents
2015 Rosh HaShanah death by stone-throwing
7th Armored Brigade (Israel)
8th Armored Brigade (Israel)
A Clean Break: A New Strategy for Securing the Realm
AIJAC
AMX-13
Abasan al-Kabera
Abba Eban
Abbasid Caliphate
Abd Al Aziz Awda
Abd Rabbo family incident
Abd al-Qadir al-Husayni
Abdeen Mosque
Abdel Aziz al-Rantisi
Abdel Hakim Amer
Abdul Munim Riad
Abdul Rahman Arif
Abdul Rahman Hassan Azzam
Abdullah I of Jordan
Abdullah II of Jordan
Abdullah of Saudi Arabia
Abil al-Qamh
Abkhazia
Abraham Isaac Kook
Abu Ali Mustafa
Abu Dis
Abu Hasan (boat)
Abu Kabir
Abu Kishk
Abu Nidal
Abu Shusha
